,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude,Venue City
0,Louvre,48.861000000000004,2.339,Musée du Louvre,Art Museum,48.86084691113991,2.336440086364746,Paris
1,Louvre,48.861000000000004,2.339,Monument de l'amiral Gaspard de Coligny,Outdoor Sculpture,48.86121579288225,2.33939504298951,Paris
2,Louvre,48.861000000000004,2.339,UGC Ciné Cité Les Halles,Multiplex,48.862607322486156,2.343530703189248,Paris
3,Louvre,48.861000000000004,2.339,Comédie-Française,Theater,48.863087901186134,2.336611747741699,Paris
4,Louvre,48.861000000000004,2.339,Intersport,Sporting Goods Shop,48.860796028706325,2.3412515498501967,Paris
5,Louvre,48.861000000000004,2.339,Palais Royal,Historic Site,48.86323576771446,2.3371267318725586,Paris
6,Louvre,48.861000000000004,2.339,Acne Studios,Clothing Store,48.86544796697722,2.3385786953983883,Paris
7,Louvre,48.861000000000004,2.339,Pull&Bear,Clothing Store,48.859618371770274,2.3447719711193926,Paris
8,Louvre,48.861000000000004,2.339,Fossil,Accessories Store,48.86140781949974,2.3341379049156434,Paris
9,Louvre,48.861000000000004,2.339,Monnaie de Paris,Museum,48.85683338028305,2.3390582159751068,Paris
10,Louvre,48.861000000000004,2.339,Parfois,Accessories Store,48.862276215594136,2.344653010368347,Paris
11,Louvre,48.861000000000004,2.339,Trocadero,Meeting Room,48.86446480118376,2.339052742875424,N/A
12,Louvre,48.861000000000004,2.339,Les Arts Décoratifs,Art Museum,48.863077314067475,2.333393096923828,Paris
13,Louvre,48.861000000000004,2.339,Monki,Clothing Store,48.859803436590646,2.3447932919953023,Paris
14,Louvre,48.861000000000004,2.339,Le Petit Flore,Fast Food Restaurant,48.8626999759466,2.339062170925103,Paris
15,Louvre,48.861000000000004,2.339,Bigo,French Restaurant,48.861896,2.343557,Paris
16,Louvre,48.861000000000004,2.339,Le Grand Salon,Bar,48.865353,2.3348804,Paris
17,Louvre,48.861000000000004,2.339,Le Bar Anglais,Hotel Bar,48.863648,2.332324,Paris
18,Louvre,48.861000000000004,2.339,Académie Française,Historic Site,48.85784315959794,2.3371673117519585,Paris
19,Louvre,48.861000000000004,2.339,Capitain's Bar,Lounge,48.857421,2.340854,Paris
20,Louvre,48.861000000000004,2.339,Jean-Marc Philippe,Tailor Shop,48.859576384025154,2.3444652557373047,Paris
21,Louvre,48.861000000000004,2.339,Lacoste,Clothing Store,48.861443,2.334124,París
22,Louvre,48.861000000000004,2.339,Le London,Gay Bar,48.86246721021508,2.3395943547859455,Paris
23,Louvre,48.861000000000004,2.339,Café Society,Bar,48.86356608370975,2.3330363631248474,Paris
24,Louvre,48.861000000000004,2.339,Dice Kayek,Women's Store,48.86564328405798,2.336247176143129,Paris
25,Louvre,48.861000000000004,2.339,Verjus Bar à Vins,Wine Bar,48.86630556463485,2.3374713957309723,Paris
26,Louvre,48.861000000000004,2.339,Le Musset,Bar,48.863811,2.33402,Paris
27,Louvre,48.861000000000004,2.339,Camper,Shoe Store,48.86010768,2.342756532,Paris
28,Louvre,48.861000000000004,2.339,Au Caveau Montpensier,Bar,48.86467594361872,2.3366358876228333,Paris
29,Louvre,48.861000000000004,2.339,Kong,French Restaurant,48.85920580754161,2.3430490493774414,Paris
30,Louvre,48.861000000000004,2.339,ITTS Pronetric Testing Centre,Event Space,48.862024,2.339622,N/A
31,Louvre,48.861000000000004,2.339,Show room Saint Honoré,Historic Site,48.86182174529324,2.339742466265906,Paris
32,Louvre,48.861000000000004,2.339,Galerie Think & More,Art Gallery,48.861636,2.342035,Paris
33,Louvre,48.861000000000004,2.339,Jean Remi Baudonne,Wine Bar,48.861426,2.343007,Paris
34,Louvre,48.861000000000004,2.339,Au bonheur du vin,Wine Bar,48.8610133,2.3425354,Paris
35,Louvre,48.861000000000004,2.339,Samson,Men's Store,48.862146,2.340113,N/A
36,Louvre,48.861000000000004,2.339,agnès b. voyage,Accessories Store,48.86374429816792,2.3447254300117493,Paris
37,Louvre,48.861000000000004,2.339,Musée de la Publicité,Art Museum,48.863346182074196,2.332497239112854,Paris
38,Louvre,48.861000000000004,2.339,flamingo,Lounge,48.85787449238538,2.3422103824214244,Paris
39,Louvre,48.861000000000004,2.339,Happy Dressing,Clothing Store,48.863085,2.34139,Paris
