,Neighborhood,city,name,address,rating,user_ratings_total,types,lat,long
0,Louvre,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
1,Louvre,Paris,Hôtel Ducs de Bourgogne,"19 Rue du Pont Neuf, Paris",4.6,104,"['lodging', 'point_of_interest', 'establishment']",48.86034799999999,2.344054
2,Louvre,Paris,Hotel Relais Du Louvre,"19 Rue des Prêtres Saint-Germain l'Auxerrois, Paris",4.2,329,"['lodging', 'point_of_interest', 'establishment']",48.85924579999999,2.341004799999999
3,Louvre,Paris,L'Empire Paris,"48 Rue de l'Arbre Sec, Paris",4.5,111,"['lodging', 'point_of_interest', 'establishment']",48.86072540000001,2.3425825
4,Louvre,Paris,Hôtel 3 étoiles de la Place du Louvre Paris 1er - Esprit de France,"21 Rue des Prêtres Saint-Germain l'Auxerrois, Paris",4,233,"['lodging', 'point_of_interest', 'establishment']",48.8592216,2.3409046
5,Louvre,Paris,Hôtel Louvre Saint-Honoré,"141 Rue Saint-Honoré, Paris",3.8,168,"['lodging', 'point_of_interest', 'establishment']",48.8617445,2.3406702
6,Louvre,Paris,Hôtel Louvre Bons Enfants,"5 Rue des Bons Enfants, Paris",3.6,324,"['lodging', 'point_of_interest', 'establishment']",48.8628167,2.3382016
7,Louvre,Paris,Tonic Hotel Du Louvre,"12 Rue du Roule, Paris",4.5,282,"['lodging', 'point_of_interest', 'establishment']",48.8606176,2.3438013
8,Louvre,Paris,Grand Hôtel du Palais Royal,"4 Rue de Valois, Paris",4.1,243,"['lodging', 'point_of_interest', 'establishment']",48.8631783,2.3379509
9,Louvre,Paris,Hôtel Crayon,"25 Rue du Bouloi, Paris",3.9,145,"['lodging', 'point_of_interest', 'establishment']",48.8639908,2.3414789
10,Louvre,Paris,Hôtel Saint Honoré,"85 Rue Saint-Honoré, Paris",2.6,163,"['lodging', 'point_of_interest', 'establishment']",48.8611197,2.3436331
11,Louvre,Paris,Hôtel de Lille-Louvre,"8 Rue du Pélican, Paris",3.3,52,"['lodging', 'point_of_interest', 'establishment']",48.8626747,2.3398144
12,Louvre,Paris,Résidence Pélican Paris 1er,"7 Rue du Pélican, Paris",3.8,227,"['lodging', 'point_of_interest', 'establishment']",48.8625601,2.339758
13,Louvre,Paris,Hôtel Montpensier,"12 Rue de Richelieu, Paris",2.8,107,"['lodging', 'point_of_interest', 'establishment']",48.864275,2.3362098
14,Louvre,Paris,Hôtel du Pont Neuf,"20 Rue du Roule, Paris",4.5,52,"['lodging', 'point_of_interest', 'establishment']",48.860943,2.3439715
15,Louvre,Paris,Hôtel Konfidentiel,"64 Rue de l'Arbre Sec, Paris",3.3,892,"['lodging', 'point_of_interest', 'establishment']",48.86126959999999,2.3426221
16,Louvre,Paris,Normandy Le Chantier,"7 Rue de l'Échelle, Paris",4.6,17,"['lodging', 'point_of_interest', 'establishment']",48.8640361,2.3341528
17,Louvre,Paris,Citadines Suites Louvre,"8 Rue de Richelieu, Paris",3.1,279,,48.8639778,2.3361415
18,Louvre,Paris,BVJ Louvre - Hostel,"20 Rue Jean-Jacques Rousseau, Paris",NaN,NaN,,48.8627109,2.3410253
19,Louvre,Paris,1st arrondissement of Paris,1st arrondissement of Paris,,,,48.8640493,2.3310526
100,Bourse,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
101,Bourse,Paris,Hotel Royal Aboukir,"106 Rue d'Aboukir, Paris",4.5,23,"['lodging', 'point_of_interest', 'establishment']",48.86856479999999,2.349895800000001
102,Bourse,Paris,Hotel Des Boulevards,"10 Rue de la ville Neuve, Paris",3.6,236,"['lodging', 'point_of_interest', 'establishment']",48.86969329999999,2.3486459
103,Bourse,Paris,Hôtel Sainte Marie,"6 Rue de la ville Neuve, Paris",2.6,202,"['lodging', 'point_of_interest', 'establishment']",48.8695967,2.3486417
104,Bourse,Paris,Appi Hôtel,"158 Rue Saint-Denis, Paris",3.8,141,"['lodging', 'point_of_interest', 'establishment']",48.865763,2.3508363
105,Bourse,Paris,Hôtel Bonne Nouvelle,"17 Rue Beauregard, Paris",3.7,118,"['lodging', 'point_of_interest', 'establishment']",48.869336,2.349587
106,Bourse,Paris,Hôtel Victoires Opéra,"56 Rue Montorgueil, Paris",3.4,90,"['lodging', 'point_of_interest', 'establishment']",48.8648997,2.3469433
107,Bourse,Paris,Hôtel Bellan.,"20 Rue Léopold Bellan, Paris",3.4,176,"['lodging', 'point_of_interest', 'establishment']",48.8666877,2.3457448
108,Bourse,Paris,Hotel Baby,"1 Rue Chénier, Paris",4,135,"['lodging', 'point_of_interest', 'establishment']",48.8689253,2.3515486
109,Bourse,Paris,Hôtel Korner Opéra,"154 Rue Montmartre, Paris",4.3,237,"['lodging', 'point_of_interest', 'establishment']",48.869648,2.343062
110,Bourse,Paris,Hôtel Odyssey,"19 Rue Hérold, Paris",NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.8650889,2.3416356
111,Bourse,Paris,Eliova,"15 Rue de Cléry, Paris",4.1,243,"['lodging', 'point_of_interest', 'establishment']",48.8679146,2.3455892
112,Bourse,Paris,Hôtel Crayon,"25 Rue du Bouloi, Paris",5,1,"['point_of_interest', 'establishment']",48.8639908,2.3414789
113,Bourse,Paris,Hôtel Edgar,"31 Rue d'Alexandrie, Paris",2.7,174,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",48.8680676,2.3499668
114,Bourse,Paris,Duplex Paris,"60 Rue Jean-Jacques Rousseau, Paris",3.9,834,"['lodging', 'point_of_interest', 'establishment']",48.86402649999999,2.3436893
115,Bourse,Paris,Le Clery,"13 Boulevard de Bonne Nouvelle, Paris",4.4,1645,,48.870006,2.3504695
116,Bourse,Paris,Rex Club,"5 Boulevard Poissonnière, Paris",2.2,56,,48.8705738,2.3473825
117,Bourse,Paris,Le Comptoir de La Gastronomie,"34 Rue Montmartre, Paris",NaN,NaN,,48.8645475,2.3453768
118,Bourse,Paris,Hôtel d'Orléans Paris Gare de l'Est,"13 Rue de la Lune, Paris",,,,48.8696885,2.3508121
119,Bourse,Paris,1st arrondissement of Paris,1st arrondissement of Paris,,,,48.8640493,2.3310526
200,Batignolles-Monceau,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
201,Batignolles-Monceau,Paris,Hôtel De Nantes,"3 Rue Boulay, Paris",3.9,275,"['lodging', 'point_of_interest', 'establishment']",48.89300189999999,2.3167206
202,Batignolles-Monceau,Paris,Art Hôtel Congrès,"44 Rue Gauthey, Paris",2.6,116,"['secondary_school', 'school', 'point_of_interest', 'establishment']",48.892905,2.321625
203,Batignolles-Monceau,Paris,Tingis,"2 Rue Émile Level, Paris",4.2,66,"['car_repair', 'point_of_interest', 'store', 'establishment']",48.8921576,2.3177334
204,Batignolles-Monceau,Paris,International School Honoré-De-Balzac,"118 Boulevard Bessières, Paris",NaN,NaN,"['cemetery', 'point_of_interest', 'establishment']",48.8959854,2.315178099999999
205,Batignolles-Monceau,Paris,CdH Lantiez,"26 Rue Lantiez, Paris",3.8,96,"['gas_station', 'car_wash', 'convenience_store', 'car_repair', 'food', 'point_of_interest', 'store', 'establishment']",48.8948093,2.3237981
206,Batignolles-Monceau,Paris,Euromaster,"181 TER Avenue de Clichy, Paris",3.3,41,"['car_repair', 'point_of_interest', 'establishment']",48.89302479999999,2.3155713
