last_review,ma10
2019-01-01,3074.7
2019-01-02,2133.4
2019-01-03,1423.4
2019-01-04,1115.0
2019-01-05,929.5
2019-01-06,798.9
2019-01-07,659.0
2019-01-08,578.3
2019-01-09,570.4
2019-01-10,576.8
2019-01-11,635.7
2019-01-12,709.0
2019-01-13,701.1
2019-01-14,633.0
2019-01-15,598.8
2019-01-16,592.8
2019-01-17,600.8
2019-01-18,674.6
2019-01-19,681.5
2019-01-20,671.6
2019-01-21,615.5
2019-01-22,567.7
2019-01-23,569.2
2019-01-24,561.2
2019-01-25,563.5
2019-01-26,535.4
2019-01-27,503.6
2019-01-28,399.3
2019-01-29,355.2
2019-01-30,341.1
2019-01-31,330.1
2019-02-01,336.5
2019-02-02,336.6
2019-02-03,340.3
2019-02-04,330.0
2019-02-05,330.2
2019-02-06,357.8
2019-02-07,391.2
2019-02-08,517.7
2019-02-09,660.6
2019-02-10,703.7
2019-02-11,704.1
2019-02-12,698.8
2019-02-13,711.8
2019-02-14,751.6
2019-02-15,842.8
2019-02-16,852.6
2019-02-17,839.3
2019-02-18,722.2
2019-02-19,622.0
2019-02-20,611.2
2019-02-21,604.7
2019-02-22,696.7
2019-02-23,732.2
2019-02-24,718.1
2019-02-25,642.0
2019-02-26,605.4
2019-02-27,591.2
2019-02-28,601.4
2019-03-01,609.5
2019-03-02,603.5
2019-03-03,571.7
2019-03-04,476.5
2019-03-05,431.5
2019-03-06,432.6
2019-03-07,468.8
2019-03-08,600.2
2019-03-09,673.5
2019-03-10,698.9
2019-03-11,684.1
2019-03-12,674.5
2019-03-13,690.0
2019-03-14,724.6
2019-03-15,834.5
2019-03-16,868.7
2019-03-17,844.3
2019-03-18,743.6
2019-03-19,693.1
2019-03-20,692.0
2019-03-21,723.7
2019-03-22,910.3
2019-03-23,974.5
2019-03-24,963.7
2019-03-25,857.2
2019-03-26,787.8
2019-03-27,753.3
2019-03-28,744.4
2019-03-29,774.1
2019-03-30,762.1
2019-03-31,708.3
2019-04-01,516.1
2019-04-02,446.7
2019-04-03,427.4
2019-04-04,435.2
2019-04-05,526.8
2019-04-06,597.2
2019-04-07,626.3
2019-04-08,615.7
2019-04-09,630.7
2019-04-10,676.0
2019-04-11,712.5
2019-04-12,830.0
2019-04-13,917.0
2019-04-14,955.7
2019-04-15,919.6
2019-04-16,896.0
2019-04-17,905.8
2019-04-18,957.7
2019-04-19,1087.1
2019-04-20,1121.6
2019-04-21,1174.5
2019-04-22,1102.5
2019-04-23,1036.9
2019-04-24,1005.1
2019-04-25,978.0
2019-04-26,988.7
2019-04-27,960.8
2019-04-28,879.0
2019-04-29,719.6
2019-04-30,630.9
2019-05-01,547.4
2019-05-02,518.3
2019-05-03,552.2
2019-05-04,568.2
2019-05-05,578.9
2019-05-06,567.9
2019-05-07,587.2
2019-05-08,630.5
2019-05-09,707.9
2019-05-10,893.1
2019-05-11,967.2
2019-05-12,988.7
2019-05-13,973.8
2019-05-14,982.6
2019-05-15,1008.0
2019-05-16,1049.5
2019-05-17,1145.5
2019-05-18,1283.9
2019-05-19,1278.7
2019-05-20,1131.8
2019-05-21,1090.3
2019-05-22,1148.8
2019-05-23,1183.7
2019-05-24,1214.2
2019-05-25,1185.6
2019-05-26,1110.5
2019-05-27,970.7
2019-05-28,778.3
2019-05-29,694.2
2019-05-30,666.5
2019-05-31,658.8
2019-06-01,573.9
2019-06-02,497.8
2019-06-03,424.1
2019-06-04,408.8
2019-06-05,421.9
2019-06-06,449.6
2019-06-07,515.7
2019-06-08,543.7
2019-06-09,548.9
2019-06-10,537.2
2019-06-11,542.4
2019-06-12,575.8
2019-06-13,633.5
2019-06-14,787.5
2019-06-15,864.5
2019-06-16,878.7
2019-06-17,845.8
2019-06-18,844.6
2019-06-19,856.9
2019-06-20,893.4
2019-06-21,1094.4
2019-06-22,1258.7
2019-06-23,1275.7
2019-06-24,1146.8
2019-06-25,1074.3
2019-06-26,1098.5
2019-06-27,1137.8
2019-06-28,1228.9
2019-06-29,1209.2
2019-06-30,1132.9
2019-07-01,892.0
2019-07-02,683.4
2019-07-03,608.0
2019-07-04,585.2
2019-07-05,614.0
2019-07-06,577.1
2019-07-07,524.1
2019-07-08,422.8
2019-07-09,425.2
2019-07-10,458.3
2019-07-11,513.4
2019-07-12,629.6
2019-07-13,687.5
2019-07-14,708.3
2019-07-15,677.7
2019-07-16,671.0
2019-07-17,681.2
2019-07-18,711.1
2019-07-19,814.8
2019-07-20,851.6
2019-07-21,857.7
2019-07-22,834.3
2019-07-23,820.9
2019-07-24,834.7
2019-07-25,875.4
2019-07-26,953.5
2019-07-27,972.6
2019-07-28,927.0
2019-07-29,797.5
2019-07-30,723.7
2019-07-31,667.8
2019-08-01,604.7
2019-08-02,594.5
2019-08-03,563.8
2019-08-04,511.1
2019-08-05,416.7
2019-08-06,379.9
2019-08-07,387.4
2019-08-08,420.1
2019-08-09,477.1
2019-08-10,508.7
2019-08-11,494.5
2019-08-12,472.0
2019-08-13,468.6
2019-08-14,485.8
2019-08-15,520.4
2019-08-16,611.6
2019-08-17,687.3
2019-08-18,710.3
2019-08-19,706.0
2019-08-20,726.7
2019-08-21,737.7
2019-08-22,810.0
2019-08-23,914.1
2019-08-24,1081.8
2019-08-25,1113.2
2019-08-26,1044.2
2019-08-27,988.8
2019-08-28,976.5
2019-08-29,990.0
2019-08-30,1074.9
2019-08-31,1138.6
2019-09-01,1104.2
2019-09-02,1018.3
2019-09-03,849.4
