second,date,time,year,month,day,hour,minute,from_user,filename,compound_sentiment,city_name,zipcode,streetaddress,latitude,longitude,tags
18,2019/2/27,2019-02-27 11:27:18+00,2019,2,27,11,27,11777438,lfw2019,0,"London, United Kingdom",44,Oxford Street,51.5164347,-0.1323212,1
44,2019/9/12,2019-09-12 13:33:44+00,2019,9,12,13,33,192558554,lfw2019,0.6808,"London, United Kingdom",E1 1EW,2030 Whitechapel Road Whitechapel,51.5168362,-0.0675596,1
53,2019/9/21,2019-09-21 14:49:53+00,2019,9,21,14,49,1835791060,lfw2019,0,"London, United Kingdom",E1 4UJ,9395 Mile End Road,51.5211404,-0.051122,1
48,2019/9/14,2019-09-14 17:35:48+00,2019,9,14,17,35,2964477514,lfw2019,0.7845,"London, United Kingdom",E1 6BG,105c Commercial Street Old Spitalfields Market,51.5194798,-0.0746591,1
10,2019/2/28,2019-02-28 08:38:10+00,2019,2,28,8,38,1813044754,pfw2019,0,"London, United Kingdom",E1 6GY,BOXPARK 210 BETHNAL GREEN ROAD SHOREDITCH,51.523539,-0.0759578,1
48,2019/2/19,2019-02-19 23:59:48+00,2019,2,19,23,59,1660722903,lfw2019,0.6467,"London, United Kingdom",E14 0JY,Trinity Buoy Wharf 64 Orchard Place,51.507817,0.0074014,1
2,2019/2/17,2019-02-17 21:56:02+00,2019,2,17,21,56,5474249800,lfw2019,0.5106,"London, United Kingdom",E14 9GE,14 16 Harbour Exchange Square,51.4992399,-0.0155665,1
9,2019/2/21,2019-02-21 21:22:09+00,2019,2,21,21,22,7617559723,lfw2019,0.9685,"London, United Kingdom",E14 9GE,14 16 Harbour Exchange Square,51.4992399,-0.0155665,1
41,2019/2/21,2019-02-21 21:15:41+00,2019,2,21,21,15,181350750,lfw2019,0.9685,"London, United Kingdom",E14 9GE,14 16 Harbour Exchange Square,51.4992399,-0.0155665,1
57,2019/9/15,2019-09-15 13:24:57+00,2019,9,15,13,24,246755247,lfw2019,0.128,"London, United Kingdom",E16QL,91 Brick Lane,51.5211443,-0.0720346,1
42,2019/9/19,2019-09-19 21:04:42+00,2019,9,19,21,4,787685142,nyfw2019,0,"London, United Kingdom",E17 7BX,157 High Street Walthamstow,51.5836827,-0.0259246,1
40,2019/9/16,2019-09-16 12:04:40+00,2019,9,16,12,4,1542599301,lfw2019,0,"London, United Kingdom",E1W2BB,110 Pennington Street Unit 2,51.5090584,-0.0616639,1
49,2019/9/18,2019-09-18 13:23:49+00,2019,9,18,13,23,463421752,lfw2019,0.6588,"London, United Kingdom",E2 8HG,Arch 406  Long Street,51.530081,-0.0757881,1
58,2019/2/18,2019-02-18 22:10:58+00,2019,2,18,22,10,2083506024,lfw2019,0.6249,"London, United Kingdom",E2 9DR,2327 Wadeson St,51.5341701,-0.0559454,1
30,2019/9/21,2019-09-21 16:42:30+00,2019,9,21,16,42,2923305,lfw2019,0.9776,"London, United Kingdom",E2 9PA,Cambridge Heath Road,51.5278263,-0.0554968,1
25,2019/9/17,2019-09-17 08:28:25+00,2019,9,17,8,28,1002204221,lfw2019,0.5848,"London, United Kingdom",E2 9PJ,Old Ford Rd,51.5299175,-0.0537742,1
41,2019/9/19,2019-09-19 15:41:41+00,2019,9,19,15,41,1002204221,lfw2019,0.7616,"London, United Kingdom",E2 9PJ,Old Ford Rd,51.5299175,-0.0537742,1
11,2019/9/6,2019-09-06 12:49:11+00,2019,9,6,12,49,4306935075,lfw2019,0.9151,"London, United Kingdom",E201FD,20 International Way Stratford,51.5453212,-0.0065923,1
9,2019/9/20,2019-09-20 15:44:09+00,2019,9,20,15,44,3609041080,lfw2019,0.4199,"London, United Kingdom",E27RG,112 COLUMBIA ROAD,51.5288734,-0.0699352,1
27,2019/2/13,2019-02-13 18:50:27+00,2019,2,13,18,50,1464145365,lfw2019,0.8836,"London, United Kingdom",E8 3BQ,Dalston Square,51.5457087,-0.0743683,1
51,2019/9/18,2019-09-18 07:52:51+00,2019,9,18,7,52,7999607646,lfw2019,0.6369,"London, United Kingdom",EC1,145 City Road,51.5274187,-0.0883247,1
14,2019/9/20,2019-09-20 19:53:14+00,2019,9,20,19,53,14763112155,lfw2019,0.5954,"London, United Kingdom",EC1N 8LE,6366 Hatton Garden,51.5210365,-0.108876,1
47,2019/9/22,2019-09-22 19:03:47+00,2019,9,22,19,3,4106824799,lfw2019,0.9315,"London, United Kingdom",EC1R 0HU,42 Northampton Road,51.5255104,-0.1073297,1
16,2019/9/8,2019-09-08 11:31:16+00,2019,9,8,11,31,1932491797,lfw2019,0.9442,"London, United Kingdom",EC1R 4TN,Rosebery Ave,51.528948,-0.106297,1
27,2019/9/10,2019-09-10 18:10:27+00,2019,9,10,18,10,24611944,lfw2019,0.3612,"London, United Kingdom",EC2A 3HU,81 Great Eastern Street,51.5255266,-0.0829058,1
